Comune	Pop.residente(01/01/2019)	Dens.demografica(ab/kmq)
Gallarate	53339.00	2546.11
Galliate Lombardo	994.00	305.65
Galliavola	195.00	21.02
Gambara	4677.00	150.16
Gambarana	202.00	18.26
Gambolo'	9896.00	191.78
Gandellino	992.00	39.43
Gandino	5386.00	185.66
Gandosso	1457.00	472.66
Garbagnate Milanese	27385.00	3018.90
Garbagnate Monastero	2521.00	709.18
Gardone Riviera	2653.00	122.98
Gardone Val Trompia	11509.00	432.83
Gargnano	2823.00	37.33
Garlasco	9784.00	250.27
Garlate	2722.00	827.07
Garzeno	739.00	26.22
Gavardo	12280.00	409.35
Gaverina Terme	855.00	167.05
Gavirate	9327.00	780.58
Gazoldo degli Ippoliti	2980.00	227.90
Gazzada Schianno	4617.00	956.83
Gazzaniga	5018.00	350.91
Gazzuolo	2240.00	98.46
Gemonio	2881.00	783.13
Genivolta	1175.00	62.62
Gera Lario	1037.00	143.61
Gerenzago	1416.00	265.39
Gerenzano	10908.00	1115.15
Germignaga	3954.00	843.13
Gerola Alta	172.00	4.65
Gerre de' Caprioli	1329.00	173.73
Gessate	8767.00	1136.73
Ghedi	18669.00	307.67
Ghisalba	6173.00	582.74
Gianico	2132.00	160.83
Giussago	5304.00	209.76
Giussano	26066.00	2523.59
Godiasco Salice Terme	3299.00	158.09
Godiasco	3299.00	158.09
Goito	10191.00	129.03
Golasecca	2699.00	366.95
Golferenzo	193.00	44.11
Gombito	621.00	68.35
Gonzaga	8995.00	182.45
Gordona	1964.00	31.37
Gorgonzola	20741.00	1940.36
Gorla Maggiore	4942.00	966.27
Gorla Minore	8364.00	1118.83
Gorlago	5172.00	910.49
Gorle	6519.00	2601.98
Gornate-Olona	2193.00	467.21
Gorno	1554.00	158.00
Gottolengo	5151.00	177.02
Graffignana	2626.00	239.17
Grandate	2842.00	1010.97
Grandola ed Uniti	1313.00	76.81
Grantola	1270.00	618.77
Grassobbio	6460.00	732.30
Gravedona ed Uniti	4197.00	105.34
Gravellona Lomellina	2740.00	133.35
Grezzago	3011.00	1227.24
Griante	633.00	97.31
Gromo	1201.00	60.04
Grone	912.00	116.37
Grontardo	1487.00	121.80
Gropello Cairoli	4454.00	171.65
Grosio	4425.00	34.91
Grosotto	1644.00	30.57
Grumello Cremonese ed Uniti	1748.00	79.50
Grumello del Monte	7411.00	747.11
Guanzate	5805.00	844.89
Guardamiglio	2662.00	255.22
Gudo Visconti	1651.00	268.97
Guidizzolo	5972.00	268.69
Gussago	16739.00	664.85
Gussola	2710.00	106.71
Idro	1862.00	84.44
Imbersago	2485.00	778.06
Inarzo	1067.00	442.89
Incudine	368.00	18.87
Induno Olona	10311.00	830.18
Introbio	1993.00	76.67
Inverigo	9186.00	915.79
Inverno e Monteleone	1490.00	154.84
Inveruno	8633.00	709.11
Inzago	10943.00	897.02
Irma	128.00	26.55
Iseo	9168.00	322.59
Isola di Fondra	173.00	13.56
Isola Dovarese	1168.00	124.02
Isorella	4106.00	265.97
Ispra	5309.00	331.64
Isso	654.00	126.11
Izano	1988.00	319.12
Jerago con Orago	5256.00	1326.79
La Valletta Brianza	4716.00	536.10
Lacchiarella	9012.00	372.67
Laglio	918.00	144.29
Lainate	25954.00	1992.04
Laino	525.00	77.21
Lallio	4082.00	1907.24
Lambrugo	2538.00	1377.45
Landriano	6417.00	409.12
Langosco	368.00	23.51
Lanzada	1313.00	11.39
Lardirago	1143.00	216.02
Lasnigo	473.00	85.96
Lavena Ponte Tresa	5895.00	1297.39
Laveno-Mombello	8685.00	369.09
Lavenone	516.00	16.75
Lazzate	7769.00	1467.36
Lecco	48333.00	1067.40
Leffe	4421.00	667.02
Leggiuno	3766.00	287.48
Legnano	60481.00	3403.87
Lenna	598.00	46.48
Leno	14249.00	245.02
Lentate sul Seveso	15902.00	1136.01
